,irony,sarcasm,mix
roberta_irony_1,0.8353623188405797,0.5480621912594211,0.7250005748315744
roberta_irony_2,0.8912644406556322,0.5963141728828434,0.7549381198262437
roberta_irony_3,0.8539130434782609,0.5480754246532648,0.7241875524643242
roberta_irony_4,0.8675162067798152,0.5701508476838874,0.7320700500912516
roberta_irony_5,0.8269272658864533,0.5704440235690236,0.7258839712852043
roberta_sarcasm_1,0.7944805306388976,0.5667757519089918,0.722508809020437
roberta_sarcasm_2,0.665192075015124,0.7078108351774445,0.7386926798691504
roberta_sarcasm_3,0.7184461873514298,0.7010242273470944,0.7300633359639006
roberta_sarcasm_4,0.6927100359594639,0.6758280479210712,0.7354316922090283
roberta_sarcasm_5,0.6846022536516627,0.7078108351774445,0.7276574923547401
roberta_mix_1,0.832581328680045,0.5527987731405412,0.7156853767969966
roberta_mix_2,0.8570426065162907,0.6758280479210712,0.7824550589560606
roberta_mix_3,0.8239934071109019,0.6939146383059623,0.7893584432946824
roberta_mix_4,0.8471329882580412,0.6329456706815197,0.7617496199020934
roberta_mix_5,0.775609756097561,0.671156506667901,0.7126682700583812
bertweet_irony_1,0.7465646078384176,0.6350884993759821,0.6684143109769695
bertweet_irony_2,0.7494999900988139,0.668736254111602,0.7051498470948012
bertweet_irony_3,0.7645193784368447,0.6669769366015099,0.7290812320041882
bertweet_irony_4,0.7612345531133338,0.622943632169885,0.6988775294094995
bertweet_irony_5,0.7540545357333808,0.6770898387385687,0.7242260442260442
bertweet_sarcasm_1,0.4884360922096771,0.5595333476638071,0.5295696298178076
bertweet_sarcasm_2,0.6113195339697071,0.7547712975796993,0.704816811597132
bertweet_sarcasm_3,0.5263784701958161,0.7336472949759704,0.6582857142857143
bertweet_sarcasm_4,0.5776547889556266,0.6893599487226445,0.6619422572178477
bertweet_sarcasm_5,0.5557349401063815,0.7506197661994516,0.6806196287781772
bertweet_mix_1,0.6289855072463768,0.5835043219406066,0.5869252873563218
bertweet_mix_2,0.7017844585091421,0.7048678705191409,0.7107939379232755
bertweet_mix_3,0.45540647198105766,0.46395095505902617,0.46272530641672677
bertweet_mix_4,0.677689328324802,0.7461722130255632,0.7515084801043705
bertweet_mix_5,0.7174031143537487,0.7200942380603186,0.7296636658189402
bert_irony_1,0.6855188152607479,0.39015151515151514,0.5038882897201566
bert_irony_2,0.673701803482587,0.5096436744033999,0.5957455904917083
bert_irony_3,0.6388846852300243,0.4590858695182648,0.5658957372042623
bert_irony_4,0.6851074159485374,0.5137142857142858,0.5783926218708828
bert_irony_5,0.7192230161213383,0.5249938188111756,0.6196207951070336
bert_sarcasm_1,0.36652611553586895,0.5496503496503496,0.5021093036394068
bert_sarcasm_2,0.4562567077664189,0.6720022907063573,0.5880359955976607
bert_sarcasm_3,0.44403205238013665,0.6728926541533016,0.5720630601792573
bert_sarcasm_4,0.4803922994507226,0.6555186358316092,0.6131655702454706
bert_sarcasm_5,0.44441117166756505,0.590191633027974,0.5318372290040312
bert_mix_1,0.4752053544265287,0.43171168100877566,0.4394238142184248
bert_mix_2,0.5862015884240351,0.6524781804807253,0.6305655129184541
bert_mix_3,0.6384319666156946,0.6280965728920067,0.6419139313533055
bert_mix_4,0.6067627044956061,0.6850667266150293,0.6572073070028801
bert_mix_5,0.6499723298284449,0.6286536791921162,0.6218546365914788
