trained_on,sarcasm,polarity,irony,other,sarcasm_mix,irony_mix
sarcasm,0.74 ± 0.01,0.74 ± 0.02,0.63 ± 0.06,0.62 ± 0.07,0.72 ± 0.01,0.73 ± 0.02
polarity,0.64 ± 0.03,0.82 ± 0.02,0.60 ± 0.08,0.43 ± 0.05,0.60 ± 0.03,0.80 ± 0.02
sarcasm_mix,0.73 ± 0.02,0.75 ± 0.01,0.63 ± 0.07,0.64 ± 0.07,0.71 ± 0.02,0.73 ± 0.01
irony_mix,0.67 ± 0.02,0.82 ± 0.02,0.67 ± 0.05,0.46 ± 0.06,0.63 ± 0.02,0.81 ± 0.02
