trained_on,sarcasm,polarity,irony,other,sarcasm_mix,irony_mix,mix
sarcasm,0.65 ± 0.02,0.60 ± 0.03,0.53 ± 0.04,0.47 ± 0.06,0.61 ± 0.02,0.59 ± 0.03,0.60 ± 0.03
polarity,0.58 ± 0.02,0.77 ± 0.02,0.61 ± 0.07,0.36 ± 0.02,0.54 ± 0.01,0.75 ± 0.02,0.67 ± 0.01
sarcasm_mix,0.64 ± 0.02,0.58 ± 0.02,0.57 ± 0.11,0.54 ± 0.05,0.62 ± 0.02,0.58 ± 0.03,0.60 ± 0.02
irony_mix,0.60 ± 0.03,0.77 ± 0.01,0.66 ± 0.05,0.32 ± 0.05,0.55 ± 0.02,0.76 ± 0.01,0.68 ± 0.01
mix,0.64 ± 0.02,0.76 ± 0.02,0.65 ± 0.03,0.43 ± 0.02,0.60 ± 0.02,0.75 ± 0.02,0.69 ± 0.01
