trained_on,sarcasm,polarity,irony,other,sarcasm_mix,irony_mix
sarcasm,0.68 ± 0.02,0.65 ± 0.02,0.58 ± 0.04,0.52 ± 0.04,0.65 ± 0.02,0.64 ± 0.02
polarity,0.00 ± 0.00,0.95 ± 0.01,0.02 ± 0.04,0.92 ± 0.02,0.34 ± 0.03,0.90 ± 0.01
sarcasm_mix,0.65 ± 0.02,0.86 ± 0.00,0.58 ± 0.05,0.85 ± 0.02,0.70 ± 0.01,0.84 ± 0.00
irony_mix,0.33 ± 0.04,0.95 ± 0.01,0.47 ± 0.08,0.90 ± 0.03,0.50 ± 0.03,0.91 ± 0.01
