trained_on\tested_on,irony,sarcasm,semeval_mix,isarcasm_mix,mix
irony,0.47 ± 0.22,0.34 ± 0.21,0.43 ± 0.22,0.37 ± 0.21,0.41 ± 0.22
sarcasm,0.55 ± 0.08,0.67 ± 0.01,0.62 ± 0.04,0.65 ± 0.02,0.63 ± 0.02
semeval_mix,0.00 ± 0.00,0.00 ± 0.00,0.95 ± 0.01,0.00 ± 0.00,0.74 ± 0.02
isarcasm_mix,0.61 ± 0.05,0.64 ± 0.02,0.61 ± 0.06,0.64 ± 0.01,0.62 ± 0.04
mix,0.58 ± 0.09,0.64 ± 0.03,0.92 ± 0.00,0.63 ± 0.02,0.82 ± 0.01
