trained_on\tested_on,irony,sarcasm,semeval_mix,isarcasm_mix,mix
irony,0.60 ± 0.05,0.50 ± 0.06,0.55 ± 0.05,0.52 ± 0.06,0.54 ± 0.04
sarcasm,0.58 ± 0.05,0.66 ± 0.02,0.60 ± 0.02,0.64 ± 0.02,0.61 ± 0.01
semeval_mix,0.61 ± 0.08,0.60 ± 0.04,0.73 ± 0.01,0.60 ± 0.03,0.68 ± 0.02
isarcasm_mix,0.64 ± 0.05,0.65 ± 0.03,0.61 ± 0.02,0.65 ± 0.02,0.62 ± 0.01
mix,0.66 ± 0.04,0.65 ± 0.03,0.71 ± 0.01,0.65 ± 0.02,0.69 ± 0.01
