trained_on,sarcasm_crossval,polarity_crossval,irony_crossval,other_crossval,sarcasm_mix_crossval,irony_mix_crossval
sarcasm_crossval,0.67 ± 0.03,0.64 ± 0.03,0.59 ± 0.09,0.56 ± 0.03,N/A,N/A
polarity_crossval,0.00 ± 0.00,0.96 ± 0.01,0.03 ± 0.06,0.90 ± 0.03,N/A,N/A
sarcasm_mix_crossval,0.68 ± 0.03,0.86 ± 0.01,0.56 ± 0.04,0.84 ± 0.06,0.72 ± 0.02,N/A
irony_mix_crossval,0.36 ± 0.06,0.94 ± 0.01,0.54 ± 0.11,0.89 ± 0.03,N/A,0.91 ± 0.01
