trained_on,sarcasm,polarity,irony,other,sarcasm_mix,irony_mix,mix
sarcasm,0.68 ± 0.02,0.64 ± 0.02,0.58 ± 0.03,0.53 ± 0.07,0.65 ± 0.01,0.63 ± 0.02,0.64 ± 0.01
polarity,0.00 ± 0.00,0.95 ± 0.01,0.00 ± 0.00,0.92 ± 0.02,0.34 ± 0.03,0.90 ± 0.01,0.74 ± 0.01
sarcasm_mix,0.66 ± 0.02,0.85 ± 0.01,0.60 ± 0.07,0.83 ± 0.04,0.71 ± 0.02,0.83 ± 0.01,0.79 ± 0.02
irony_mix,0.28 ± 0.09,0.95 ± 0.01,0.45 ± 0.05,0.93 ± 0.01,0.49 ± 0.04,0.91 ± 0.01,0.77 ± 0.01
mix,0.63 ± 0.03,0.93 ± 0.01,0.59 ± 0.08,0.91 ± 0.02,0.70 ± 0.02,0.90 ± 0.01,0.82 ± 0.01
