trained_on,sarcasm_crossval,polarity_crossval,irony_crossval,other_crossval,sarcasm_mix_crossval,irony_mix_crossval
sarcasm_crossval,0.72 ± 0.04,0.72 ± 0.03,0.60 ± 0.05,0.64 ± 0.05,N/A,N/A
polarity_crossval,0.64 ± 0.02,0.83 ± 0.01,0.64 ± 0.07,0.42 ± 0.04,N/A,N/A
sarcasm_mix_crossval,0.74 ± 0.02,0.73 ± 0.02,0.66 ± 0.03,0.65 ± 0.08,0.72 ± 0.02,N/A
irony_mix_crossval,0.65 ± 0.04,0.82 ± 0.02,0.66 ± 0.07,0.43 ± 0.06,N/A,0.80 ± 0.02
