trained_on,sarcasm,polarity,irony,other
polarity,0.2315753218157895,0.11293715388477696,0.22412503115285717,0.3261093172566287
sarcasm,0.13192265932082864,0.16769623755656116,0.22803610352571427,0.2142848293030302
mix,0.16763438986842097,0.1193131156134454,0.19115391105428578,0.26269240145075756
sarcasm_mix,0.13178022463605824,0.14552122230963158,0.22880298733999999,0.21682522742234853
irony_mix,0.21635414229283306,0.11235199480446031,0.19796595734,0.3376701470189393
