trained_on\tested_on,irony_ds,sarcasm_ds,semeval_mix_ds,isarcasm_mix_ds,mix_ds
irony_ds,0.44 ± 0.23,0.41 ± 0.29,0.43 ± 0.24,0.41 ± 0.25,0.46 ± 0.26
sarcasm_ds,0.51 ± 0.10,0.49 ± 0.16,0.51 ± 0.11,0.52 ± 0.09,0.53 ± 0.13
semeval_mix_ds,0.42 ± 0.23,0.45 ± 0.25,0.50 ± 0.17,0.44 ± 0.23,0.51 ± 0.18
isarcasm_mix_ds,0.44 ± 0.23,0.48 ± 0.24,0.47 ± 0.25,0.43 ± 0.22,0.48 ± 0.26
mix_ds,0.66 ± 0.06,0.66 ± 0.03,0.67 ± 0.04,0.66 ± 0.06,0.71 ± 0.06
