trained_on\tested_on,irony_ds,sarcasm_ds,semeval_mix_ds,isarcasm_mix_ds,mix_ds
irony_ds,0.63 ± 0.04,0.46 ± 0.11,0.45 ± 0.13,0.56 ± 0.06,0.54 ± 0.13
sarcasm_ds,0.58 ± 0.13,0.56 ± 0.12,0.43 ± 0.17,0.57 ± 0.06,0.53 ± 0.16
semeval_mix_ds,0.01 ± 0.02,0.00 ± 0.00,0.91 ± 0.04,0.00 ± 0.00,0.62 ± 0.03
isarcasm_mix_ds,0.42 ± 0.19,0.39 ± 0.25,0.38 ± 0.26,0.41 ± 0.23,0.41 ± 0.26
mix_ds,0.47 ± 0.17,0.48 ± 0.16,0.88 ± 0.05,0.46 ± 0.12,0.72 ± 0.02
