trained_on,irony_ds,sarcasm_ds,semeval_mix_ds
irony_ds,0.66 ± 0.06,0.51 ± 0.14,0.60 ± 0.05
sarcasm_ds,0.57 ± 0.04,0.63 ± 0.09,0.55 ± 0.15
semeval_mix_ds,0.68 ± 0.04,0.63 ± 0.10,0.66 ± 0.07
